L0,L8,L15,L18
9670800.0,5.89728E7,2.8505E8,1.5077182E9
2235600.0,4087500.0,1.091455E8,9.966304E8
2336000.0,3738400.0,1.098297E8,1.0408438E9
2282100.0,1.03658E7,1.370818E8,9.002545E8
2784200.0,4921800.0,1.705679E8,1.1365455E9
6267200.0,3.29458E7,1.145099E8,8.981786E8
2956600.0,4116200.0,1.087406E8,1.050053E9
1699900.0,1.04758E7,1.297326E8,8.954259E8
1496100.0,2662800.0,1.123719E8,8.889134E8
1686800.0,2292700.0,1.107811E8,1.0183379E9
1660800.0,3.09937E7,1.119103E8,1.0716808E9
7313300.0,5123200.0,1.111844E8,1.2010269E9
1.32615E7,3337800.0,1.900675E8,1.1556776E9
4045100.0,4076500.0,1.622492E8,1.0421982E9
6942500.0,1.58002E7,1.144284E8,1.0859624E9
1907000.0,3414400.0,1.524182E8,1.1112794E9
6412800.0,3687400.0,1.346593E8,1.0000961E9
2399800.0,4080100.0,1.134791E8,1.1205982E9
2707900.0,2957300.0,1.112982E8,9.06453E8
3995000.0,3062700.0,1.119224E8,9.188153E8
1967700.0,2646200.0,1.722786E8,9.023344E8
9834500.0,4282600.0,1.127868E8,9.071578E8
1394000.0,8109000.0,1.111732E8,1.0170734E9
1.2539E7,5659300.0,1.144653E8,9.394093E8
3280900.0,2390000.0,1.11504E8,8.911571E8
1.04077E7,3420700.0,1.135861E8,1.0925417E9
2730600.0,2840800.0,1.090898E8,9.103038E8
2800200.0,7640000.0,1.400454E8,9.484877E8
3734500.0,4614900.0,1.102195E8,8.930615E8
1739000.0,4414200.0,1.128742E8,1.2220922E9
4682600.0,2647300.0,1.253993E8,9.220351E8
1835100.0,2410900.0,1.127336E8,9.018833E8
3522400.0,2918200.0,1.111446E8,1.1171605E9
1401200.0,2909700.0,1.110721E8,9.117634E8
1483000.0,2727300.0,1.209201E8,1.269328E9
6162000.0,5899600.0,1.103994E8,1.0638027E9
5982200.0,7188900.0,1.122389E8,1.1061814E9
1448000.0,5590000.0,1.726925E8,1.1162088E9
7.27746E7,2666900.0,1.323434E8,1.0477081E9
2483100.0,5171900.0,1.12927E8,8.985916E8
1975600.0,3376200.0,1.31709E8,9.310461E8
3313800.0,3684400.0,1.114234E8,1.0279988E9
2251500.0,4495600.0,1.13756E8,8.987841E8
5765300.0,6338000.0,1.12818E8,1.2568283E9
2296200.0,5841200.0,1.609247E8,9.071507E8
1618700.0,3296800.0,1.169999E8,9.101974E8
1668500.0,2234800.0,1.101921E8,9.006959E8
1.03985E7,2700700.0,1.140132E8,1.0832158E9
1761500.0,2279400.0,1.134727E8,1.2655113E9
2441700.0,2080600.0,1.182784E8,1.0867072E9
3048100.0,2518700.0,1.122405E8,9.931303E8
2719200.0,2568000.0,1.088615E8,1.0879924E9
1.214E7,2967800.0,1.09793E8,1.0511918E9
5196800.0,5654500.0,1.119591E8,1.0883449E9
1879200.0,6666500.0,1.367832E8,9.065488E8
3513300.0,2233700.0,1.121212E8,9.093607E8
3005000.0,1923900.0,1.115388E8,9.51992E8
3001500.0,4966700.0,1.109671E8,9.918423E8
2543700.0,3292000.0,1.100761E8,9.049184E8
2819800.0,2424400.0,1.132447E8,9.487724E8
4332100.0,3791300.0,1.121501E8,1.2237704E9
3963800.0,6039600.0,1.692707E8,1.1350207E9
2892400.0,4452800.0,1.314814E8,1.0774654E9
2458600.0,5596100.0,1.122278E8,9.044983E8
3472000.0,3730500.0,1.21773E8,1.2421991E9
1985800.0,1823100.0,1.242784E8,8.88159E8
2506200.0,5266300.0,1.154112E8,9.441448E8
9001900.0,6051200.0,1.116032E8,8.930091E8
2044700.0,5720400.0,1.694384E8,8.91471E8
2123500.0,4595200.0,1.11489E8,1.1871913E9
1801000.0,6114400.0,1.105708E8,9.40259E8
3520500.0,1656100.0,1.105899E8,1.0567795E9
2379300.0,4917400.0,1.493067E8,1.0048123E9
2512100.0,4230800.0,1.140516E8,1.1117877E9
7797400.0,5058500.0,1.105311E8,1.044911E9
2313900.0,4091300.0,1.17134E8,1.1939898E9
2041200.0,6521200.0,1.12325E8,1.0584208E9
1311400.0,2689100.0,1.092116E8,9.0576E8
7100700.0,2351800.0,1.136973E8,9.812631E8
1.0016E7,2104900.0,1.118515E8,9.489859E8
5332000.0,1574000.0,1.120393E8,1.240619E9
2096200.0,2224100.0,1.094283E8,8.88473E8
2629700.0,6627300.0,1.172552E8,9.153637E8
1472700.0,4502000.0,1.133554E8,1.0722349E9
5065600.0,5070000.0,1.082338E8,8.929544E8
1478900.0,4248900.0,1.378865E8,9.469747E8
1765700.0,5771100.0,1.137406E8,8.933391E8
3137700.0,3005600.0,1.090307E8,1.030462E9
1.54275E7,5728300.0,1.09708E8,1.1186256E9
3660800.0,4081500.0,1.271168E8,9.603283E8
2632500.0,4591000.0,1.139705E8,1.0082205E9
2831800.0,3804400.0,1.224292E8,1.0944611E9
5504500.0,7083300.0,1.740175E8,9.191217E8
1900800.0,3063900.0,1.120925E8,1.0712E9
6233700.0,3025900.0,1.560005E8,9.161092E8
9788600.0,2701100.0,1.194974E8,9.189968E8
3234600.0,6082700.0,1.600314E8,1.2622372E9
1446800.0,2361100.0,1.158739E8,9.091351E8
2814500.0,3698700.0,1.070202E8,1.0263183E9
1911200.0,1504900.0,1.085993E8,9.572271E8
