L0,L8,L15,L18,L20
2.309956E8,6.1738E7,3.746731E8,1.5723211E9,5.8099961E9
3455900.0,2.17342E7,1.598328E8,1.0777459E9,7.3641283E9
4471100.0,1.17826E7,1.939046E8,8.853871E8,7.4617596E9
3970400.0,1.98186E7,1.340681E8,9.035993E8,7.7018652E9
2937900.0,1.4014E7,1.823738E8,1.2040588E9,7.6570616E9
3220500.0,1.48751E7,2.004972E8,8.867289E8,7.6215185E9
9855200.0,1.70248E7,2.234942E8,1.2588097E9,7.5937311E9
4235200.0,8954700.0,1.548598E8,9.043947E8,7.7606644E9
4743000.0,1.52914E7,1.363787E8,9.174527E8,7.6842104E9
3059700.0,1.33142E7,2.064941E8,8.882786E8,7.5542896E9
4463900.0,1.33824E7,1.412557E8,8.906112E8,7.8712547E9
7013500.0,1.63888E7,1.189834E8,1.033859E9,7.7640512E9
6699800.0,8548200.0,1.241957E8,1.0772633E9,7.4991632E9
3295100.0,1.4959E7,1.276018E8,1.2097098E9,7.8671725E9
7738300.0,6768200.0,1.540855E8,1.0276292E9,7.609588E9
4936200.0,7756900.0,1.340861E8,9.253084E8,7.4405458E9
6369000.0,7682200.0,1.862202E8,9.075199E8,7.8202841E9
2878400.0,9049300.0,1.898561E8,9.071794E8,7.8824526E9
3033900.0,1.57878E7,1.085255E8,8.938608E8,7.4992529E9
6006000.0,2.02543E7,1.111243E8,1.1044477E9,7.7971364E9
4544000.0,8925900.0,1.871875E8,1.0747313E9,7.6050574E9
8753100.0,1.46358E7,1.141895E8,1.106887E9,7.6278519E9
2454100.0,1.69273E7,1.694796E8,9.020539E8,7.7078512E9
3049800.0,1.09998E7,1.302265E8,1.0261151E9,7.5313727E9
6549300.0,1.30142E7,1.226657E8,1.0854481E9,8.0932882E9
3042600.0,7991800.0,1.1204E8,9.05522E8,7.7279153E9
3127400.0,1.27569E7,1.826163E8,1.0953429E9,7.736103E9
8039500.0,7.55736E7,1.116986E8,1.1391826E9,7.4525499E9
1.9414E7,5.12944E7,1.147399E8,8.863541E8,7.8912527E9
2740200.0,1.74219E7,1.118137E8,9.01738E8,7.5206235E9
2967100.0,5126300.0,1.100918E8,8.857527E8,7.6132755E9
3973600.0,1.03106E7,1.107962E8,8.922307E8,7.7970767E9
5044800.0,2.80861E7,1.095811E8,9.873959E8,7.620038E9
5303900.0,5778000.0,1.239485E8,1.0769631E9,7.3056855E9
4087300.0,5050500.0,1.124545E8,9.020009E8,7.894575E9
